transaction_id,reason,flagged_date,amount
5c3baa6f-289f-481c-95e8-18957ce653a2,Samma konto som avsändare och mottagare,2025-06-30,15614.07
7ee1c800-65d3-4d86-8077-07c754d8464c,Samma konto som avsändare och mottagare,2025-06-30,23421.03
33f27841-93b7-41dc-aec1-ff796d18fd6e,Samma konto som avsändare och mottagare,2025-06-30,21287.34
83167861-8440-4f9d-a6c7-d5dc24170d8f,Samma konto som avsändare och mottagare,2025-06-30,47855.61
4f9d8e01-80f8-4a00-966b-cdc8397bddd8,Samma konto som avsändare och mottagare,2025-06-30,32433.22
c75aae3b-fd11-409c-9961-b9f1cf095bd0,Samma konto som avsändare och mottagare,2025-06-30,42640.4
ec6d64bf-7f17-490e-9be7-9cf0bedd7733,Samma konto som avsändare och mottagare,2025-06-30,37328.08
8a2affc9-a2ee-4f84-af04-cbb726f5fa52,Samma konto som avsändare och mottagare,2025-06-30,33174.44
438b3d21-008e-4644-9714-f6fcc46648dd,Samma konto som avsändare och mottagare,2025-06-30,23491.08
cd104bad-80f1-45c9-9562-45e46340ca84,Samma konto som avsändare och mottagare,2025-06-30,11035.39
711f3b36-81e3-48b7-8911-1a0ae588465b,Samma konto som avsändare och mottagare,2025-06-30,24151.86
556bbb8c-abfa-455c-95f1-eeb853688f29,Samma konto som avsändare och mottagare,2025-06-30,20762.17
aa817b6d-dc8e-4de9-8b85-c63d7ce5deb2,Flera transaktioner inom 1 minut,2025-06-30,940.02
75b0890d-4a2b-40ca-ae8a-1e8cc0b14de5,Flera transaktioner inom 1 minut,2025-06-30,577.27
68938793-12db-4611-8064-b1d39f146db8,Flera transaktioner inom 1 minut,2025-06-30,357.94
b5425129-2563-4add-be3b-9b0075e78c97,Flera transaktioner inom 1 minut,2025-06-30,619.7
553f0e29-1c33-4093-952b-89a9666ec3a8,Flera transaktioner inom 1 minut,2025-06-30,561.13
cb86ef20-c4a4-4d60-a14b-bcff0ab104fb,Flera transaktioner inom 1 minut,2025-06-30,501.15
20fb2ed9-28a1-4d10-9510-5fabd48c0dde,Flera transaktioner inom 1 minut,2025-06-30,737.34
d74df04a-47f1-4152-b9f6-8770460c0163,Flera transaktioner inom 1 minut,2025-06-30,717.47
d3708b75-d9ef-4b46-a605-c1c8d0514d35,Flera transaktioner inom 1 minut,2025-06-30,800.43
7859cb18-03a5-4740-94c6-8ad3d3f9aecb,Flera transaktioner inom 1 minut,2025-06-30,798.24
f78f20df-f45c-48a7-97a0-126ada44969b,Flera transaktioner inom 1 minut,2025-06-30,259.92
b2f00464-ea00-405e-92b7-6366bf11d27f,Flera transaktioner inom 1 minut,2025-06-30,774.14
6e920fb1-ad6e-4ab9-85c5-e9ab4f53d1e5,Flera transaktioner inom 1 minut,2025-06-30,521.02
350cee9c-c92e-450e-a5ae-08f9a9b75b80,Flera transaktioner inom 1 minut,2025-06-30,275.85
a7da5f80-5321-43fb-ae1b-3164bfb71a47,Flera transaktioner inom 1 minut,2025-06-30,582.36
c5688583-f95a-490f-92fc-db779d3d7345,Flera transaktioner inom 1 minut,2025-06-30,760.95
8c4f901a-748a-4e63-918a-76429d997b1d,Flera transaktioner inom 1 minut,2025-06-30,391.31
9d769dd7-1e09-4677-9102-2faf37c8f6ab,Flera transaktioner inom 1 minut,2025-06-30,558.77
c7c53510-debb-42fe-b793-083fa427e758,Flera transaktioner inom 1 minut,2025-06-30,455.99
95191588-66f4-4baf-a8a3-85ec81b66a63,Flera transaktioner inom 1 minut,2025-06-30,162.59
4a536591-2e1f-41b9-b055-81f1452d2ee6,Flera transaktioner inom 1 minut,2025-06-30,898.44
945706b3-c29c-49fa-bec4-d94f64fda57d,Flera transaktioner inom 1 minut,2025-06-30,201.73
d3369a34-d112-4b80-9ef8-fd6c9e94ba0a,Flera transaktioner inom 1 minut,2025-06-30,144.72
051d4a4d-f88d-41c0-832a-90cf4a1e19b8,Flera transaktioner inom 1 minut,2025-06-30,829.77
c50f6929-111b-40a4-891b-856bcb23090a,Flera transaktioner inom 1 minut,2025-06-30,667.47
fdd6ad42-28ca-4a36-8abc-929d5cc487cb,Flera transaktioner inom 1 minut,2025-06-30,522.07
661d9ebb-da63-4cec-89cb-12999c1c9d6d,Flera transaktioner inom 1 minut,2025-06-30,439.82
1750463a-24c5-49c7-997c-c152e1b9007c,Flera transaktioner inom 1 minut,2025-06-30,295.04
666ca58f-e1d4-4f55-9b7d-52895e2d5599,Flera transaktioner inom 1 minut,2025-06-30,933.77
0b4edb4c-9c27-45c2-8944-c2ada692f9ce,Flera transaktioner inom 1 minut,2025-06-30,449.28
10c3b4c7-24d3-4768-81ba-36471034360f,Flera transaktioner inom 1 minut,2025-06-30,579.03
2166c4c5-c52a-4f66-86af-aeb1b0e0970e,Flera transaktioner inom 1 minut,2025-06-30,443.68
b71c8290-eaf9-4a15-b949-48e497e98d6e,Flera transaktioner inom 1 minut,2025-06-30,484.46
0cc19fc5-d02f-4e46-821d-672938c435d7,Flera transaktioner inom 1 minut,2025-06-30,127.21
8b285265-00da-43eb-950a-dd17e79839c1,Flera transaktioner inom 1 minut,2025-06-30,262.25
012762c6-2a73-47f0-aaf8-d98f4b5d7894,Flera transaktioner inom 1 minut,2025-06-30,800.01
02669e95-aace-4810-b55a-12857b30a250,Flera transaktioner inom 1 minut,2025-06-30,207.76
25d5d3ea-8b47-4d26-a206-b216e5a493e9,Flera transaktioner inom 1 minut,2025-06-30,321.17
96fc1b4c-f237-470f-9be4-5f80e90d6abb,Flera transaktioner inom 1 minut,2025-06-30,651.82
482aa850-05e3-4827-a642-af5f9f33b7ca,Flera transaktioner inom 1 minut,2025-06-30,129.54
7aec8ea8-c53b-48f1-b7c8-adc2ffc0709e,Flera transaktioner inom 1 minut,2025-06-30,874.58
f3839ed2-8699-4332-9f5b-cd6faa9e611e,Flera transaktioner inom 1 minut,2025-06-30,880.4
84ca1a69-cae3-4cfb-8ce9-063b92ca1d09,Flera transaktioner inom 1 minut,2025-06-30,311.71
1c728be9-1bef-46f5-9ebf-73d591dbab85,Flera transaktioner inom 1 minut,2025-06-30,749.49
885a7179-64a6-4601-adc3-cc0aa6f02a38,Flera transaktioner inom 1 minut,2025-06-30,298.85
322087f8-3f6b-4186-afea-f870f5d8a4b4,Flera transaktioner inom 1 minut,2025-06-30,872.31
a27c8d5c-e7c9-4ba3-aa2e-298a71ba0461,Flera transaktioner inom 1 minut,2025-06-30,803.71
33225b7f-e2e5-41c8-a675-f70617f819d2,Flera transaktioner inom 1 minut,2025-06-30,523.98
a7c01edd-bae3-4509-a1cd-af84bfc04a15,Flera transaktioner inom 1 minut,2025-06-30,436.53
8d1b9368-82ff-4fc3-bf5c-854136209f23,Flera transaktioner inom 1 minut,2025-06-30,308.05
d83a271c-7e00-4e8e-ba1f-c6fdf586008b,Flera transaktioner inom 1 minut,2025-06-30,475.18
f40c784b-9511-454d-8d90-b7e506ce015a,Flera transaktioner inom 1 minut,2025-06-30,897.65
58d748d6-4b12-4a43-afd8-b4a8ac498796,Flera transaktioner inom 1 minut,2025-06-30,872.34
d60e120d-fb70-472a-95c7-e3ad4e06c8c1,Flera transaktioner inom 1 minut,2025-06-30,243.32
6f30925b-919b-495a-ac64-06d3f74ba059,Flera transaktioner inom 1 minut,2025-06-30,166.66
dd5505b6-f700-49ad-91c5-53200af711ce,Flera transaktioner inom 1 minut,2025-06-30,962.66
4f705add-6155-4924-9a69-89d9244f374c,Flera transaktioner inom 1 minut,2025-06-30,596.59
7ae52d41-d0ad-4ce5-b254-4d6032210bfe,Flera transaktioner inom 1 minut,2025-06-30,694.26
a7ce9b82-b21c-4731-831c-cc286740635f,Flera transaktioner inom 1 minut,2025-06-30,457.21
d4137ef3-b87d-4688-9165-17aa6792a42d,Flera transaktioner inom 1 minut,2025-06-30,221.38
560cb7f7-031c-4d69-963e-ee4370873c94,Flera transaktioner inom 1 minut,2025-06-30,463.55
412eefb4-305e-495d-ad33-725c49dabf6d,Flera transaktioner inom 1 minut,2025-06-30,626.27
13fc532b-89e9-4971-8657-4ddbc1e19f0c,Flera transaktioner inom 1 minut,2025-06-30,300.11
dc615f6a-9702-4cb4-bc92-93f058b76555,Flera transaktioner inom 1 minut,2025-06-30,760.38
da12fa82-de7e-4ead-ac49-c5a74785bc83,Flera transaktioner inom 1 minut,2025-06-30,335.58
538b7f54-660b-49aa-96f4-fb2819f500cf,Flera transaktioner inom 1 minut,2025-06-30,691.85
f4330fed-6be3-4732-92a5-56ad885a1ab2,Flera transaktioner inom 1 minut,2025-06-30,610.46
9fcae37a-1746-4e04-a8da-c73fc86b5f48,Flera transaktioner inom 1 minut,2025-06-30,108.53
b92ff92e-9ff9-4e6f-8880-d8e161861fa8,Flera transaktioner inom 1 minut,2025-06-30,712.67
dc70e1c4-1181-4a73-bf50-391cbbdd608a,Flera transaktioner inom 1 minut,2025-06-30,200.77
20f48b07-9bdd-40ab-940f-f8c45703027a,Flera transaktioner inom 1 minut,2025-06-30,277.7
80cf5906-7eef-4810-a386-39f7dae669e0,Flera transaktioner inom 1 minut,2025-06-30,346.92
88a5367f-7a25-4d6e-a443-4b3f63f2fac6,Flera transaktioner inom 1 minut,2025-06-30,326.16
fdcbf11f-fbd6-4f35-915c-9be40e41e4fe,Flera transaktioner inom 1 minut,2025-06-30,998.22
d973f171-9815-48b7-bc80-83496304ddfe,Flera transaktioner inom 1 minut,2025-06-30,111.79
5dfc3735-7b2d-4f7c-a733-1239bddcf5c9,Flera transaktioner inom 1 minut,2025-06-30,268.8
8546f362-1c37-4667-8740-c95af0fe1813,Flera transaktioner inom 1 minut,2025-06-30,750.25
15f62e45-e541-40ee-b97b-6b48a4a5a7e7,Flera transaktioner inom 1 minut,2025-06-30,475.32
6b37826e-050c-4b4d-89a8-1e15cc052b8c,Flera transaktioner inom 1 minut,2025-06-30,443.05
a5348e39-14eb-4323-91f1-8ac14c00cca9,Flera transaktioner inom 1 minut,2025-06-30,280.38
b826ad82-439a-4bcd-a58b-397e73b7dec3,Flera transaktioner inom 1 minut,2025-06-30,194.24
9843c2b2-3156-46f9-b2cb-2881725e7303,Flera transaktioner inom 1 minut,2025-06-30,840.46
4fc921e3-29a1-4d50-b8b3-af210e2fc5d8,Flera transaktioner inom 1 minut,2025-06-30,683.71
b780bc93-fbcd-47a9-a1a7-4159fa1ec083,Flera transaktioner inom 1 minut,2025-06-30,421.56
876e9ede-9629-41bc-806f-363bc9a1eeac,Flera transaktioner inom 1 minut,2025-06-30,587.44
af631a37-405a-4503-8cc1-951a2625a69e,Flera transaktioner inom 1 minut,2025-06-30,585.98
319325dc-e13e-493f-87cd-9b30f66e187c,Flera transaktioner inom 1 minut,2025-06-30,735.25
